match_id,passer,receiver,team_name,start_x,start_y,end_x,end_y
,So-Yun Ji,Ramona Bachmann,Chelsea FCW,61.0,40.0,63.0,37.0
,Ramona Bachmann,Crystal Alyssia Dunn Soubrier,Chelsea FCW,69.0,33.0,84.0,5.0
,Ellie Roebuck,Nikita Parris,Manchester City WFC,6.0,43.0,59.0,69.0
,Magdalena Lilly Eriksson,Crystal Alyssia Dunn Soubrier,Chelsea FCW,62.0,12.0,80.0,10.0
,Esme Beth Morgan,,Manchester City WFC,41.0,71.0,43.0,73.0
,Jill Scott,Nikita Parris,Manchester City WFC,43.0,66.0,58.0,76.0
,Nikita Parris,Nadia Nadim,Manchester City WFC,58.0,76.0,75.0,71.0
,Anita Amma Ankyewah Asante,Francesca Kirby,Chelsea FCW,44.0,17.0,95.0,23.0
,Ramona Bachmann,Anita Amma Ankyewah Asante,Chelsea FCW,119.0,2.0,116.0,33.0
,Anita Amma Ankyewah Asante,Magdalena Lilly Eriksson,Chelsea FCW,54.0,24.0,53.0,26.0
,Julia Spetsmark,Demi Stokes,Manchester City WFC,92.0,26.0,96.0,5.0
,Demi Stokes,Isobel Mary Christiansen,Manchester City WFC,95.0,5.0,87.0,16.0
,Isobel Mary Christiansen,Nadia Nadim,Manchester City WFC,87.0,17.0,105.0,40.0
,Nadia Nadim,Jill Scott,Manchester City WFC,100.0,40.0,90.0,54.0
,Jill Scott,Nikita Parris,Manchester City WFC,90.0,54.0,101.0,59.0
,Isobel Mary Christiansen,Nikita Parris,Manchester City WFC,120.0,80.0,119.0,42.0
,Drew Spence,Francesca Kirby,Chelsea FCW,9.0,41.0,38.0,47.0
,Francesca Kirby,Millie Bright,Chelsea FCW,31.0,40.0,29.0,55.0
,Millie Bright,Hannah Jayne Blundell,Chelsea FCW,27.0,58.0,86.0,66.0
,Jennifer Patricia Beattie,Julia Spetsmark,Manchester City WFC,35.0,15.0,45.0,10.0
,So-Yun Ji,Hannah Jayne Blundell,Chelsea FCW,78.0,76.0,84.0,77.0
,Hannah Jayne Blundell,So-Yun Ji,Chelsea FCW,84.0,77.0,81.0,69.0
,So-Yun Ji,Francesca Kirby,Chelsea FCW,83.0,69.0,93.0,68.0
,Francesca Kirby,Drew Spence,Chelsea FCW,90.0,68.0,90.0,53.0
,Jill Scott,Isobel Mary Christiansen,Manchester City WFC,31.0,28.0,30.0,24.0
,Isobel Mary Christiansen,Jennifer Patricia Beattie,Manchester City WFC,29.0,24.0,25.0,28.0
,Jennifer Patricia Beattie,Demi Stokes,Manchester City WFC,25.0,27.0,26.0,14.0
,Demi Stokes,Nadia Nadim,Manchester City WFC,32.0,15.0,97.0,23.0
,Rut Hedvig Lindahl,Anita Amma Ankyewah Asante,Chelsea FCW,24.0,53.0,34.0,27.0
,Anita Amma Ankyewah Asante,Ramona Bachmann,Chelsea FCW,43.0,27.0,69.0,21.0
,Jill Scott,Esme Beth Morgan,Manchester City WFC,65.0,74.0,43.0,76.0
,Esme Beth Morgan,Abbie McManus,Manchester City WFC,37.0,76.0,36.0,64.0
,Abbie McManus,Jennifer Patricia Beattie,Manchester City WFC,37.0,53.0,32.0,27.0
,Jennifer Patricia Beattie,Demi Stokes,Manchester City WFC,31.0,26.0,37.0,8.0
,Demi Stokes,Julia Spetsmark,Manchester City WFC,38.0,7.0,61.0,14.0
,Hannah Jayne Blundell,Francesca Kirby,Chelsea FCW,73.0,70.0,88.0,64.0
,Isobel Mary Christiansen,Nadia Nadim,Manchester City WFC,40.0,33.0,57.0,29.0
,Nadia Nadim,Julia Spetsmark,Manchester City WFC,53.0,21.0,45.0,3.0
,Julia Spetsmark,Demi Stokes,Manchester City WFC,45.0,3.0,38.0,9.0
,Demi Stokes,Jennifer Patricia Beattie,Manchester City WFC,33.0,13.0,25.0,25.0
,Jennifer Patricia Beattie,Jill Scott,Manchester City WFC,21.0,27.0,45.0,77.0
,Nikita Parris,Esme Beth Morgan,Manchester City WFC,51.0,80.0,42.0,74.0
,Esme Beth Morgan,Jill Scott,Manchester City WFC,47.0,73.0,63.0,70.0
,Jill Scott,Nikita Parris,Manchester City WFC,63.0,70.0,67.0,78.0
,Crystal Alyssia Dunn Soubrier,Ramona Bachmann,Chelsea FCW,66.0,1.0,91.0,5.0
,Ramona Bachmann,Crystal Alyssia Dunn Soubrier,Chelsea FCW,87.0,3.0,82.0,4.0
,Crystal Alyssia Dunn Soubrier,Hannah Jayne Blundell,Chelsea FCW,81.0,2.0,88.0,65.0
,Hannah Jayne Blundell,,Chelsea FCW,116.0,57.0,116.0,54.0
,Hannah Jayne Blundell,So-Yun Ji,Chelsea FCW,110.0,68.0,90.0,67.0
,So-Yun Ji,Maren Nævdal Mjelde,Chelsea FCW,92.0,67.0,104.0,48.0
,Maren Nævdal Mjelde,Francesca Kirby,Chelsea FCW,102.0,45.0,113.0,55.0
,Ramona Bachmann,,Chelsea FCW,120.0,80.0,108.0,49.0
,Anita Amma Ankyewah Asante,Millie Bright,Chelsea FCW,104.0,36.0,109.0,29.0
,Esme Beth Morgan,Nadia Nadim,Manchester City WFC,44.0,77.0,120.0,68.0
,Rut Hedvig Lindahl,Millie Bright,Chelsea FCW,6.0,36.0,11.0,69.0
,Millie Bright,Ramona Bachmann,Chelsea FCW,37.0,67.0,110.0,48.0
,Ellie Roebuck,Esme Beth Morgan,Manchester City WFC,10.0,36.0,27.0,59.0
,Esme Beth Morgan,Jill Scott,Manchester City WFC,27.0,59.0,39.0,52.0
,Jill Scott,Nikita Parris,Manchester City WFC,39.0,52.0,43.0,78.0
,Nikita Parris,Esme Beth Morgan,Manchester City WFC,48.0,78.0,35.0,74.0
,Esme Beth Morgan,Jill Scott,Manchester City WFC,43.0,74.0,72.0,73.0
,Maren Nævdal Mjelde,Magdalena Lilly Eriksson,Chelsea FCW,49.0,3.0,42.0,3.0
,Magdalena Lilly Eriksson,So-Yun Ji,Chelsea FCW,40.0,3.0,60.0,21.0
,Keira Walsh,Nadia Nadim,Manchester City WFC,61.0,60.0,77.0,59.0
,Nadia Nadim,Isobel Mary Christiansen,Manchester City WFC,77.0,59.0,71.0,47.0
,Isobel Mary Christiansen,Demi Stokes,Manchester City WFC,75.0,41.0,81.0,7.0
,Demi Stokes,Julia Spetsmark,Manchester City WFC,91.0,13.0,97.0,6.0
,Julia Spetsmark,Isobel Mary Christiansen,Manchester City WFC,95.0,15.0,86.0,14.0
,Isobel Mary Christiansen,Nadia Nadim,Manchester City WFC,85.0,15.0,99.0,41.0
,Nadia Nadim,Jill Scott,Manchester City WFC,99.0,41.0,90.0,53.0
,Jill Scott,Nikita Parris,Manchester City WFC,90.0,53.0,99.0,63.0
,Nikita Parris,Jill Scott,Manchester City WFC,92.0,64.0,87.0,61.0
,Jill Scott,Nikita Parris,Manchester City WFC,89.0,65.0,116.0,55.0
,Rut Hedvig Lindahl,Millie Bright,Chelsea FCW,16.0,39.0,23.0,58.0
