player_name,team_name,shots,dribbles,tackles,blocks
Abbie McManus,Manchester City WFC,0,0,0,6
Anita Amma Ankyewah Asante,Chelsea FCW,0,1,0,2
Claire Emslie,Manchester City WFC,0,1,0,1
Crystal Alyssia Dunn Soubrier,Chelsea FCW,2,6,0,3
Demi Stokes,Manchester City WFC,0,4,0,4
Drew Spence,Chelsea FCW,2,1,0,2
Ellie Roebuck,Manchester City WFC,0,1,0,0
Eniola Aluko,Chelsea FCW,0,0,0,0
Erin Cuthbert,Chelsea FCW,2,4,0,0
Esme Beth Morgan,Manchester City WFC,0,1,0,4
Francesca Kirby,Chelsea FCW,7,8,0,2
Georgia Stanway,Manchester City WFC,3,0,0,1
Hannah Jayne Blundell,Chelsea FCW,0,2,0,0
Isobel Mary Christiansen,Manchester City WFC,0,0,0,0
Jane Ross,Manchester City WFC,0,0,0,0
Jennifer Patricia Beattie,Manchester City WFC,2,0,0,2
Jill Scott,Manchester City WFC,1,2,0,2
Julia Spetsmark,Manchester City WFC,0,3,0,2
Keira Walsh,Manchester City WFC,0,1,0,5
Magdalena Lilly Eriksson,Chelsea FCW,0,0,0,0
Maren Nævdal Mjelde,Chelsea FCW,1,1,0,2
Maria Thorisdottir,Chelsea FCW,0,0,0,0
Millie Bright,Chelsea FCW,2,0,0,3
Nadia Nadim,Manchester City WFC,0,0,0,1
Nikita Parris,Manchester City WFC,3,4,0,3
Ramona Bachmann,Chelsea FCW,6,12,0,3
Rut Hedvig Lindahl,Chelsea FCW,0,0,0,0
So-Yun Ji,Chelsea FCW,3,6,0,1
